label,timestamp,0,1,2,3,4,5,6,7
Idle,2025-10-12 18:28:24,"[-138511.25, -138690.39, -138631.52, -138440.83, -138471.34, -138660.8, -138650.33, -138454.73, -138433.86, -138621.39]","[-138439.0, -138181.55, -138280.94, -138542.27, -138475.67, -138197.19, -138226.25, -138500.44, -138502.3, -138220.5]","[-143123.36, -143333.47, -143122.05, -142879.08, -143056.58, -143317.22, -143167.97, -142883.12, -142989.98, -143282.95]","[-129287.14, -129581.02, -129530.8, -129227.52, -129233.49, -129532.67, -129560.21, -129260.02, -129186.805, -129472.44]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-155278.03, -154746.47, -154858.86, -155395.92, -155361.66, -154814.8, -154782.45, -155320.58, -155425.16, -154894.95]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-158319.53, -157541.06, -157711.88, -158500.16, -158443.05, -157639.14, -157600.7, -158392.89, -158538.44, -157759.27]"
Idle,2025-10-12 18:28:24,"[-138660.77, -138471.61, -138401.95, -138579.45, -138666.17, -138498.53, -138385.53, -138532.94, -138658.47, -138520.27]","[-138177.84, -138446.39, -138517.58, -138254.4, -138143.08, -138391.55, -138527.64, -138291.97, -138117.06, -138325.92]","[-143206.64, -142898.55, -142928.77, -143238.45, -143240.42, -142931.66, -142883.66, -143181.16, -143259.08, -142966.92]","[-129576.8, -129297.375, -129151.06, -129409.07, -129582.85, -129345.21, -129136.71, -129341.48, -129570.25, -129386.78]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-154722.17, -155228.66, -155464.39, -154988.16, -154689.94, -155133.56, -155482.95, -155087.05, -154680.48, -155027.0]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-157514.9, -158261.39, -158600.3, -157898.89, -157467.23, -158122.0, -158630.75, -158046.56, -157454.42, -157970.81]"
Idle,2025-10-12 18:28:24,"[-138372.36, -138484.56, -138643.11, -138543.42, -138367.62, -138437.67, -138620.27, -138566.27, -138372.25, -138393.62]","[-138519.6, -138330.62, -138105.42, -138261.25, -138497.11, -138367.42, -138108.97, -138201.89, -138463.22, -138398.78]","[-142844.8, -143115.5, -143267.39, -143009.67, -142818.08, -143045.11, -143262.45, -143056.66, -142806.72, -142973.3]","[-129130.81, -129273.484, -129544.81, -129427.71, -129137.984, -129209.71, -129507.08, -129464.79, -129158.64, -129152.875]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-155472.28, -155185.39, -154696.73, -154925.47, -155435.39, -155275.12, -154740.02, -154837.44, -155376.52, -155349.52]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-158619.33, -158192.81, -157480.17, -157824.8, -158569.0, -158328.31, -157545.78, -157696.05, -158486.03, -158443.27]"
Idle,2025-10-12 18:28:24,"[-138583.6, -138579.14, -138384.6, -138359.0, -138545.52, -138590.0, -138404.73, -138331.58, -138503.56, -138595.72]","[-138119.28, -138142.81, -138418.14, -138426.95, -138145.83, -138096.77, -138366.12, -138444.97, -138180.81, -138064.12]","[-143237.98, -143097.19, -142810.08, -142909.72, -143204.83, -143136.12, -142829.1, -142852.84, -143159.25, -143169.89]","[-129452.01, -129488.125, -129190.336, -129109.98, -129393.16, -129504.87, -129231.305, -129079.445, -129329.695, -129510.91]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-154801.5, -154759.52, -155296.1, -155412.48, -154887.55, -154703.0, -155204.64, -155454.17, -154983.31, -154672.84]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-157638.94, -157583.27, -158373.69, -158538.05, -157764.64, -157502.16, -158242.6, -158600.61, -157906.78, -157458.4]"
Idle,2025-10-12 18:28:24,"[-138429.4, -138312.33, -138458.48, -138588.66, -138452.27, -138300.88, -138412.66, -138573.94, -138476.98, -138301.17]","[-138308.17, -138450.38, -138220.39, -138040.73, -138243.78, -138441.75, -138261.19, -138032.17, -138180.98, -138422.14]","[-142860.7, -142805.34, -143102.9, -143189.28, -142898.17, -142768.48, -143039.08, -143198.22, -142943.42, -142747.77]","[-129276.73, -129062.55, -129263.87, -129498.81, -129319.51, -129059.13, -129198.875, -129473.44, -129361.8, -129071.96]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-155106.64, -155469.06, -155082.86, -154667.19, -155004.4, -155455.62, -155182.33, -154690.48, -154905.28, -155419.95]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-158100.11, -158625.38, -158056.05, -157450.73, -157951.6, -158610.34, -158203.66, -157483.53, -157808.75, -158560.64]"
Idle,2025-10-12 18:28:24,"[-138369.77, -138551.17, -138500.28, -138307.97, -138326.12, -138515.86, -138512.0, -138316.42, -138287.2, -138474.44]","[-138301.83, -138038.31, -138123.0, -138388.64, -138332.88, -138051.58, -138063.84, -138338.28, -138354.77, -138076.03]","[-142972.98, -143193.75, -142992.02, -142740.14, -142902.61, -143170.55, -143031.86, -142741.02, -142834.52, -143133.27]","[-129139.53, -129435.69, -129399.63, -129095.65, -129083.805, -129381.8, -129421.32, -129123.44, -129037.16, -129319.59]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-155276.94, -154738.16, -154818.58, -155361.25, -155352.58, -154803.11, -154741.81, -155278.06, -155407.03, -154886.39]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-158342.69, -157554.27, -157681.97, -158476.5, -158457.16, -157652.27, -157571.28, -158359.3, -158542.95, -157776.36]"
Idle,2025-10-12 18:28:24,"[-138524.05, -138339.06, -138258.77, -138428.36, -138524.88, -138362.48, -138243.84, -138385.55, -138516.78, -138383.66]","[-138021.11, -138287.52, -138369.72, -138108.17, -137985.5, -138227.72, -138377.95, -138150.7, -137963.5, -138161.75]","[-143072.69, -142763.66, -142777.17, -143083.6, -143102.16, -142795.39, -142734.94, -143029.38, -143120.6, -142832.23]","[-129438.484, -129167.086, -129006.13, -129251.69, -129439.13, -129211.27, -128993.8, -129187.85, -129425.164, -129251.78]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-154692.88, -155187.1, -155443.89, -154982.55, -154661.88, -155087.62, -155463.25, -155087.25, -154659.25, -154986.11]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-157497.44, -158228.3, -158599.9, -157917.89, -157453.62, -158084.25, -158626.73, -158071.25, -157450.05, -157935.66]"
Idle,2025-10-12 18:28:24,"[-138227.8, -138333.97, -138499.81, -138408.97, -138231.17, -138291.89, -138473.86, -138427.95, -138237.61, -138252.89]","[-138362.8, -138185.8, -137955.23, -138100.52, -138344.45, -138227.08, -137961.03, -138039.28, -138308.95, -138262.28]","[-142694.67, -142959.9, -143127.73, -142880.33, -142678.97, -142895.58, -143121.7, -142926.69, -142673.52, -142832.1]","[-128985.79, -129117.13, -129396.71, -129293.84, -129002.086, -129058.836, -129354.84, -129326.63, -129025.16, -129007.25]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-155445.88, -155182.08, -154686.64, -154894.89, -155412.94, -155279.84, -154742.16, -154810.28, -155356.83, -155367.47]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-158605.16, -158213.84, -157487.67, -157798.67, -158556.28, -158354.53, -157564.53, -157673.16, -158471.95, -158476.9]"
Idle,2025-10-12 18:28:24,"[-138443.33, -138445.44, -138249.66, -138214.62, -138401.27, -138452.53, -138267.62, -138186.75, -138354.42, -138449.97]","[-137981.47, -137988.03, -138262.17, -138284.95, -138007.94, -137943.5, -138207.52, -138300.55, -138042.72, -137910.22]","[-143105.17, -142975.64, -142682.78, -142769.69, -143071.95, -143018.23, -142710.03, -142722.84, -143033.5, -143060.8]","[-129304.82, -129353.164, -129056.13, -128960.85, -129240.89, -129363.65, -129093.28, -128929.016, -129169.86, -129357.03]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-154822.88, -154750.81, -155287.88, -155435.06, -154922.44, -154717.88, -155215.7, -155495.75, -155052.17, -154733.12]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-157676.06, -157577.42, -158363.97, -158569.8, -157812.17, -157514.62, -158243.11, -158640.92, -157976.6, -157502.39]"
Idle,2025-10-12 18:28:24,"[-138286.9, -138163.94, -138304.5, -138442.12, -138311.05, -138151.14, -138252.17, -138417.45, -138326.77, -138145.42]","[-138147.02, -138304.03, -138085.72, -137898.8, -138093.81, -138301.94, -138133.38, -137899.72, -138038.98, -138288.4]","[-142759.16, -142699.39, -143004.78, -143119.3, -142847.45, -142718.75, -142998.02, -143189.64, -142962.98, -142775.67]","[-129129.625, -128904.7, -129092.766, -129335.04, -129163.6, -128889.37, -129009.15, -129284.93, -129181.21, -128882.1]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-155165.11, -155572.75, -155241.2, -154842.47, -155197.48, -155712.12, -155512.16, -155061.4, -155309.38, -155888.42]","[-187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02, -187500.02]","[-158129.19, -158700.36, -158181.98, -157573.03, -158067.31, -158776.67, -158434.8, -157731.02, -158054.97, -158853.89]"
