hand,timestamp,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
Left,2025-10-28 18:44:25,"[-64362.61, -63861.324, -62828.473, -63252.242, -64265.78, -64047.65, -62939.695, -63066.387, -64139.27, -64191.348]","[-63962.176, -63517.242, -63258.03, -63724.53, -63993.223, -63619.1, -63249.0, -63627.258, -63989.0, -63706.004]","[-85831.75, -85988.97, -86043.375, -85902.38, -85834.41, -85963.85, -86061.19, -85934.3, -85821.22, -85926.52]","[-81967.89, -81967.516, -82016.086, -82039.44, -81994.086, -81975.16, -82022.9, -82053.74, -81999.68, -81971.83]","[-85153.375, -85324.52, -85377.2, -85224.9, -85160.08, -85304.78, -85408.01, -85269.336, -85154.695, -85272.84]","[-89915.26, -90050.91, -90105.89, -89988.99, -89927.125, -90037.12, -90130.33, -90024.69, -89922.27, -90012.375]","[-68906.875, -68418.06, -68194.21, -68704.836, -68954.51, -68534.49, -68182.3, -68606.195, -68964.43, -68627.81]","[-85150.67, -85147.85, -85201.66, -85221.1, -85167.55, -85146.78, -85198.305, -85226.42, -85170.805, -85140.3]"
Left,2025-10-28 18:44:25,"[-63093.723, -62920.027, -63959.113, -64264.195, -63261.516, -62844.188, -63813.47, -64348.28, -63464.805, -62796.13]","[-63257.918, -63526.766, -63973.4, -63795.41, -63299.336, -63437.47, -63933.79, -63870.086, -63368.516, -63375.22]","[-86052.61, -85970.46, -85843.22, -85914.43, -86050.33, -86001.49, -85864.25, -85906.05, -86052.31, -86030.3]","[-82009.49, -82062.8, -82032.984, -81989.59, -82006.12, -82064.34, -82052.12, -82010.92, -82021.94, -82074.31]","[-85405.32, -85312.79, -85183.52, -85266.18, -85409.91, -85352.234, -85207.33, -85257.4, -85413.75, -85383.8]","[-90125.07, -90063.94, -89954.35, -90006.72, -90123.664, -90092.22, -89977.04, -90005.67, -90133.86, -90122.88]","[-68188.195, -68505.62, -68953.73, -68730.97, -68231.984, -68419.61, -68933.02, -68826.19, -68299.22, -68344.68]","[-85182.63, -85234.87, -85200.71, -85157.195, -85176.06, -85230.305, -85211.31, -85165.87, -85182.09, -85236.234]"
Left,2025-10-28 18:44:25,"[-63628.91, -64372.22, -63661.613, -62764.973, -63388.855, -64284.535, -63827.395, -62797.094, -63187.914, -64199.977]","[-63894.562, -63940.273, -63449.94, -63310.49, -63813.605, -63981.89, -63546.03, -63277.43, -63737.855, -64016.0]","[-85881.98, -85883.445, -86042.77, -86058.266, -85906.49, -85870.1, -86015.7, -86074.086, -85937.96, -85866.73]","[-82068.54, -82018.09, -82025.72, -82074.914, -82085.53, -82035.73, -82024.98, -82067.94, -82091.21, -82044.734]","[-85223.984, -85230.6, -85402.375, -85414.76, -85252.57, -85220.32, -85379.17, -85436.95, -85287.77, -85218.06]","[-89995.45, -89990.31, -90130.64, -90153.62, -90026.99, -89988.33, -90109.65, -90163.83, -90051.58, -89986.58]","[-68886.805, -68898.266, -68375.46, -68277.875, -68818.54, -68961.52, -68484.445, -68251.97, -68755.8, -69018.766]","[-85228.37, -85174.83, -85184.87, -85239.02, -85245.64, -85193.36, -85185.78, -85233.77, -85256.414, -85209.88]"
Left,2025-10-28 18:44:25,"[-63989.266, -62886.254, -62986.703, -64052.926, -64110.48, -63006.24, -62804.445, -63840.293, -64163.207, -63155.613]","[-63645.05, -63268.043, -63636.734, -64005.63, -63723.168, -63270.883, -63532.152, -63982.203, -63811.86, -63318.066]","[-85990.38, -86078.266, -85956.36, -85845.65, -85941.945, -86065.414, -85982.375, -85849.01, -85917.086, -86059.875]","[-82019.48, -82055.04, -82090.2, -82042.39, -82005.17, -82039.305, -82088.1, -82054.15, -82008.69, -82030.55]","[-85356.1, -85448.195, -85315.4, -85204.42, -85315.13, -85446.3, -85351.37, -85213.766, -85291.89, -85443.5]","[-90091.164, -90172.91, -90075.56, -89976.68, -90056.68, -90171.38, -90104.06, -89985.266, -90036.266, -90162.555]","[-68602.11, -68244.55, -68653.63, -69008.016, -68673.03, -68225.125, -68535.74, -68994.516, -68773.32, -68275.016]","[-85182.97, -85219.65, -85249.69, -85197.984, -85159.34, -85196.29, -85245.04, -85209.32, -85165.71, -85192.734]"
Left,2025-10-28 18:44:25,"[-62673.867, -63622.273, -64179.08, -63298.977, -62557.973, -63348.4, -64084.91, -63387.11, -62473.395, -63087.797]","[-63442.008, -63937.723, -63882.36, -63381.59, -63366.57, -63886.695, -63951.85, -63465.14, -63311.07, -63816.734]","[-86013.24, -85858.59, -85891.516, -86047.31, -86041.72, -85888.586, -85891.766, -86040.266, -86057.125, -85909.71]","[-82083.14, -82056.72, -82011.61, -82029.586, -82089.266, -82086.516, -82040.54, -82034.91, -82083.05, -82096.26]","[-85386.26, -85222.58, -85261.89, -85428.414, -85416.41, -85251.43, -85259.48, -85420.09, -85432.125, -85271.81]","[-90126.52, -89990.625, -90015.1, -90154.625, -90157.04, -90025.336, -90022.3, -90149.28, -90169.93, -90046.26]","[-68448.484, -68956.0, -68855.8, -68331.164, -68361.78, -68912.91, -68937.79, -68420.52, -68310.195, -68847.375]","[-85247.23, -85220.36, -85170.48, -85185.984, -85243.9, -85238.42, -85189.61, -85193.61, -85247.14, -85253.4]"
Left,2025-10-28 18:44:25,"[-63982.965, -63544.38, -62487.453, -62837.035, -63844.83, -63658.348, -62524.043, -62590.16, -63637.113, -63712.418]","[-63989.715, -63552.023, -63268.0, -63716.8, -64002.277, -63646.75, -63267.44, -63629.875, -64011.35, -63744.402]","[-85874.484, -86007.75, -86077.93, -85938.01, -85865.61, -85991.27, -86092.93, -85974.58, -85866.33, -85960.9]","[-82047.87, -82026.19, -82074.31, -82096.57, -82048.56, -82025.875, -82071.38, -82105.49, -82064.48, -82028.375]","[-85237.87, -85382.73, -85451.81, -85297.72, -85222.266, -85357.67, -85461.25, -85327.61, -85213.88, -85319.23]","[-90005.984, -90113.25, -90179.92, -90062.98, -89991.03, -90094.12, -90191.34, -90091.79, -89992.95, -90067.05]","[-68992.46, -68516.34, -68258.74, -68747.75, -69015.33, -68611.63, -68248.08, -68658.55, -69028.65, -68708.28]","[-85200.47, -85180.64, -85230.8, -85250.83, -85200.4, -85175.34, -85219.4, -85251.32, -85207.195, -85172.016]"
Left,2025-10-28 18:44:25,"[-62616.51, -62378.777, -63417.82, -63762.664, -62733.5, -62237.203, -63189.074, -63747.49, -62882.88, -62141.18]","[-63288.227, -63537.63, -63996.375, -63836.67, -63341.65, -63466.348, -63975.92, -63929.453, -63430.473, -63405.754]","[-86086.38, -86011.26, -85871.87, -85934.5, -86085.11, -86037.38, -85891.96, -85932.734, -86089.195, -86086.875]","[-82057.61, -82111.234, -82075.625, -82034.03, -82062.51, -82119.055, -82101.83, -82058.88, -82069.125, -82124.65]","[-85450.43, -85364.82, -85220.516, -85291.62, -85449.4, -85390.64, -85234.16, -85279.46, -85442.94, -85430.555]","[-90176.75, -90119.24, -89996.69, -90045.37, -90179.37, -90144.164, -90016.195, -90041.7, -90172.46, -90175.23]","[-68254.23, -68548.195, -69013.734, -68802.38, -68294.125, -68470.766, -68999.79, -68909.02, -68387.87, -68406.42]","[-85204.67, -85257.94, -85221.3, -85178.27, -85213.26, -85274.37, -85254.625, -85210.52, -85228.56, -85292.336]"
Left,2025-10-28 18:44:25,"[-62918.91, -63672.008, -63014.418, -62073.79, -62643.65, -63561.098, -63106.55, -62048.508, -62382.58, -63424.55]","[-63924.87, -63989.65, -63505.105, -63342.543, -63843.734, -64027.086, -63596.1, -63314.668, -63763.848, -64055.004]","[-85933.3, -85927.28, -86072.81, -86108.445, -85955.22, -85909.0, -86056.79, -86121.45, -85988.88, -85901.484]","[-82122.73, -82066.914, -82055.734, -82111.37, -82122.586, -82066.6, -82057.63, -82105.805, -82134.414, -82077.35]","[-85263.234, -85259.27, -85414.445, -85444.44, -85275.91, -85230.69, -85388.734, -85452.016, -85305.03, -85218.016]","[-90041.234, -90027.53, -90147.734, -90187.45, -90056.34, -90006.48, -90130.21, -90192.58, -90080.15, -89997.04]","[-68946.59, -68974.664, -68460.35, -68332.99, -68866.77, -69023.39, -68544.17, -68288.49, -68774.22, -69047.76]","[-85288.36, -85233.28, -85230.8, -85289.41, -85299.4, -85242.49, -85232.79, -85287.016, -85311.984, -85253.51]"
Left,2025-10-28 18:44:25,"[-63257.875, -62137.312, -62175.11, -63250.855, -63335.055, -62250.434, -62022.695, -63074.812, -63423.79, -62411.746]","[-63700.93, -63312.477, -63672.297, -64067.027, -63806.652, -63351.64, -63590.98, -64053.797, -63897.156, -63400.12]","[-86031.69, -86140.02, -86032.695, -85922.01, -86031.57, -86156.3, -86077.44, -85941.516, -86012.664, -86156.99]","[-82057.81, -82104.26, -82148.72, -82106.945, -82079.875, -82108.62, -82154.53, -82122.055, -82084.59, -82104.53]","[-85359.945, -85470.03, -85348.44, -85232.37, -85351.27, -85479.76, -85387.42, -85241.93, -85321.125, -85472.375]","[-90105.78, -90207.305, -90120.85, -90018.27, -90107.52, -90215.46, -90150.87, -90032.31, -90087.09, -90212.36]","[-68642.38, -68270.85, -68673.32, -69059.85, -68745.945, -68293.23, -68583.02, -69055.18, -68846.234, -68336.81]","[-85233.35, -85281.25, -85327.445, -85284.336, -85254.74, -85290.945, -85338.18, -85306.016, -85265.13, -85292.36]"
Left,2025-10-28 18:44:25,"[-61892.293, -62827.312, -63416.125, -62572.234, -61821.215, -62604.957, -63385.59, -62754.4, -61835.25, -62412.598]","[-63507.676, -64019.285, -63983.14, -63481.727, -63449.605, -63969.977, -64047.516, -63574.887, -63405.508, -63901.535]","[-86114.09, -85961.836, -85984.39, -86132.96, -86131.42, -85972.836, -85960.61, -86108.35, -86142.33, -86004.62]","[-82159.805, -82142.88, -82091.27, -82097.64, -82155.71, -82150.28, -82095.63, -82090.72, -82143.71, -82160.01]","[-85419.16, -85257.87, -85287.28, -85447.234, -85439.66, -85270.54, -85265.516, -85425.8, -85458.03, -85309.7]","[-90185.11, -90053.88, -90065.75, -90195.34, -90201.78, -90065.305, -90048.96, -90173.87, -90211.06, -90095.164]","[-68493.55, -69017.914, -68932.31, -68404.695, -68416.97, -68965.164, -69001.445, -68491.31, -68361.18, -68897.06]","[-85352.055, -85330.664, -85273.05, -85281.38, -85341.305, -85333.64, -85277.47, -85277.29, -85331.67, -85347.3]"
